Level;1;2;3;4;5-6;7-9;10-12;Pair
1;12;1/2;1/3;1/4;1/6;1/8;1/8;1/2+1/3
2;23;1;1/21;1/2;1/3;1/4;1/6;1+1/2
3;34;12;1;1/21;1/2;1/3;1/4;2+1
4;345;2;12;1;1/21;1/2;1/3;3+1
5;456;3;2;12;1;1/2;1/2;4+2
6;567;4;3;2;12;1;1/2;5+3
7;678;5;4;3;2;1;1/2;6+4
8;789;6;5;4;3;2;1;7+5
9;8910;7;6;5;4;3;2;8+6
10;91011;8;7;6;5;4;3;9+7
11;101112;9;8;7;6;5;4;10+8
12;111213;10;9;8;7;6;5;11+9
13;121314;11;10;9;8;7;6;12+10
14;131415;12;11;10;9;8;7;13+11
15;141516;13;12;11;10;9;8;14+12
16;151617;14;13;12;11;10;9;15+13
17;161718;15;14;13;12;11;10;16+14
18;171819;16;15;14;13;12;11;17+15
19;181920;17;16;15;14;13;12;18+16
20;19+;18;17;16;15;14;13;19+17
